threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=1
18, 5.852880, 1, 68461, 0.000083, 0.000001, 0.852495
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=20
0, 4.365390, 1, 36528, 0.000049, 0.000000, 0.286831
1, 5.146790, 1, 38286, 0.000056, 0.000001, 0.382497
2, 4.070300, 1, 37015, 0.000038, 0.000001, 0.286561
3, 4.586820, 1, 35627, 0.000053, 0.000002, 0.375593
4, 3.882830, 1, 65466, 0.000065, 0.000001, 1.026261
5, 4.461910, 1, 35274, 0.000060, 0.000000, 0.525000
6, 4.565870, 1, 37800, 0.000046, 0.000001, 0.286786
7, 3.296060, 1, 28309, 0.000065, 0.000001, 0.476072
8, 4.277340, 1, 39995, 0.000057, 0.000001, 0.332774
9, 4.393850, 1, 35207, 0.000042, 0.000002, 0.286494
10, 3.312500, 1, 31001, 0.000063, 0.000000, 0.716014
11, 4.036100, 1, 36506, 0.000061, 0.000000, 0.481570
12, 3.994350, 1, 27439, 0.000061, 0.000001, 0.382940
13, 4.061100, 1, 27733, 0.000058, 0.000002, 0.519649
14, 2.900000, 1, 22980, 0.000056, 0.000000, 0.478070
15, 4.145080, 1, 28173, 0.000060, 0.000002, 0.361515
16, 3.624310, 1, 23869, 0.000062, 0.000000, 0.802651
17, 4.545410, 1, 30241, 0.000063, 0.000002, 0.567056
18, 4.187070, 1, 40176, 0.000059, 0.000001, 0.376972
19, 4.187400, 1, 29793, 0.000063, 0.000000, 0.744094
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=21
0, 2.905100, 1, 59057, 0.000027, 0.000000, 0.378673
1, 4.013450, 1, 55420, 0.000053, 0.000000, 0.793106
2, 3.753420, 1, 53915, 0.000050, 0.000002, 0.526593
3, 3.614260, 1, 50130, 0.000045, 0.000001, 0.657037
4, 3.963840, 1, 37233, 0.000060, 0.000001, 0.617570
5, 3.261610, 1, 44827, 0.000062, 0.000000, 0.812739
6, 3.680830, 1, 55235, 0.000058, 0.000000, 0.716457
7, 4.021580, 1, 29990, 0.000062, 0.000001, 0.573445
8, 3.885050, 1, 28842, 0.000055, 0.000001, 0.665388
9, 2.898150, 1, 27092, 0.000045, 0.000002, 0.473934
10, 4.016990, 1, 59629, 0.000060, 0.000001, 0.765164
11, 3.578990, 1, 54332, 0.000034, 0.000002, 0.378747
12, 3.341270, 1, 48863, 0.000062, 0.000000, 0.842140
13, 4.041350, 1, 37131, 0.000051, 0.000000, 0.378679
14, 4.377550, 1, 35998, 0.000055, 0.000000, 0.569938
15, 3.378600, 1, 28715, 0.000052, 0.000002, 0.590505
16, 4.034430, 1, 28547, 0.000047, 0.000003, 0.382132
17, 4.464800, 1, 54743, 0.000054, 0.000002, 0.619273
18, 3.813840, 1, 47953, 0.000054, 0.000002, 0.526613
19, 3.645010, 1, 33788, 0.000061, 0.000000, 0.665835
20, 3.277380, 1, 26869, 0.000063, 0.000000, 0.378632
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=22
0, 6.736880, 1, 56998, 0.000056, 0.000000, 0.382677
1, 6.576250, 1, 55483, 0.000055, 0.000002, 0.382688
2, 6.558950, 1, 57087, 0.000056, 0.000002, 0.382596
3, 6.492870, 1, 59604, 0.000081, 0.000002, 0.713123
4, 4.332010, 1, 44915, 0.000090, 0.000001, 0.897911
5, 6.914520, 1, 33256, 0.000090, 0.000000, 0.761138
6, 5.302400, 1, 54168, 0.000095, 0.000000, 1.465446
7, 6.346510, 1, 87480, 0.000090, 0.000002, 1.325395
8, 7.606890, 1, 57611, 0.000086, 0.000001, 0.762238
9, 6.564780, 1, 57371, 0.000057, 0.000002, 0.382604
10, 6.587140, 1, 55464, 0.000056, 0.000002, 0.382677
11, 4.696860, 1, 31631, 0.000092, 0.000000, 1.039646
12, 6.194540, 1, 57572, 0.000095, 0.000000, 0.901535
13, 5.951180, 1, 45902, 0.000089, 0.000000, 0.955060
14, 5.757180, 1, 47118, 0.000090, 0.000000, 1.048389
15, 6.408030, 1, 50659, 0.000094, 0.000000, 0.677566
16, 6.720470, 1, 88485, 0.000069, 0.000002, 1.704885
17, 7.891380, 1, 60968, 0.000082, 0.000001, 0.498981
18, 5.657490, 1, 50668, 0.000092, 0.000001, 1.467855
19, 5.954310, 1, 102675, 0.000096, 0.000000, 1.704855
20, 6.193590, 1, 43376, 0.000092, 0.000002, 1.089653
21, 5.294530, 1, 30776, 0.000090, 0.000002, 0.797709
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=23
